"data.V15" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14"
0 25 3 226802 2 7 5 7 4 3 2 0 0 40 39
0 38 3 89814 12 9 3 5 1 5 2 0 0 50 39
1 28 2 336951 8 12 3 11 1 5 2 0 0 40 39
1 44 3 160323 16 10 3 7 1 3 2 7688 0 40 39
0 34 3 198693 1 6 5 8 2 5 2 0 0 30 39
1 63 5 104626 15 15 3 10 1 5 2 3103 0 32 39
0 24 3 369667 16 10 5 8 5 5 1 0 0 40 39
0 55 3 104996 6 4 3 3 1 5 2 0 0 10 39
1 65 3 184454 12 9 3 7 1 5 2 6418 0 40 39
0 36 1 212465 10 13 3 1 1 5 2 0 0 40 39
0 26 3 82091 12 9 5 1 2 5 1 0 0 39 39
1 48 3 279724 12 9 3 7 1 5 2 3103 0 48 39
1 43 3 346189 13 14 3 4 1 5 2 0 0 50 39
0 20 6 444554 16 10 5 8 4 5 2 0 0 25 39
0 43 3 128354 12 9 3 1 6 5 1 0 0 30 39
0 37 3 60548 12 9 7 7 5 5 1 0 0 20 39
1 34 3 107914 10 13 3 13 1 5 2 0 0 47 39
0 34 3 238588 16 10 5 8 4 3 1 0 0 35 39
0 25 3 220931 10 13 5 10 2 5 2 0 0 43 29
0 25 3 205947 10 13 3 10 1 5 2 0 0 40 39
1 45 5 432824 12 9 3 3 1 5 2 7298 0 90 39
0 22 3 236427 12 9 5 1 4 5 2 0 0 20 39
0 23 3 134446 12 9 6 7 5 3 2 0 0 54 39
0 54 3 99516 12 9 3 3 1 5 2 0 0 35 39
0 32 5 109282 16 10 5 10 2 5 2 0 0 60 39
1 46 6 106444 16 10 3 4 1 3 2 7688 0 38 39
0 56 5 186651 2 7 7 8 5 5 1 0 0 50 39
0 24 5 188274 10 13 5 12 2 5 2 0 0 50 39
0 23 2 258120 16 10 3 11 1 5 2 0 0 40 39
0 26 3 43311 12 9 1 4 5 5 1 0 0 40 39
1 36 2 403681 10 13 3 10 1 5 2 0 0 40 39
0 22 3 248446 5 3 5 9 2 5 2 0 0 50 13
0 17 3 269430 1 6 5 7 2 5 2 0 0 40 39
0 20 3 257509 12 9 5 3 4 5 2 0 0 40 39
1 65 3 136384 13 14 3 10 1 5 2 0 0 50 39
1 44 4 120277 9 11 3 12 1 5 2 0 0 45 39
0 36 3 465326 12 9 3 5 1 5 2 0 0 40 39
0 29 3 103634 2 7 3 8 1 5 2 0 0 40 39
0 20 6 138371 16 10 5 5 4 5 2 0 0 32 39
1 28 3 242832 9 11 3 10 6 5 1 0 0 36 39
0 39 3 290208 6 4 3 3 1 5 2 0 0 40 26
0 54 3 186272 16 10 3 14 1 5 2 3908 0 50 39
0 52 3 201062 2 7 6 9 2 3 1 0 0 18 39
0 56 4 131916 12 9 7 4 2 5 1 0 0 50 39
0 18 3 54440 16 10 5 8 4 5 2 0 0 20 39
0 39 3 280215 12 9 1 6 4 3 2 0 0 40 39
0 21 3 214399 16 10 5 8 4 5 1 0 1721 24 39
1 22 3 54164 12 9 5 8 2 5 2 14084 0 60 39
0 38 3 219446 7 5 4 4 2 5 2 0 0 54 26
0 21 3 110677 16 10 5 1 4 5 1 0 0 40 39
0 63 3 145985 12 9 3 3 1 5 2 0 0 40 39
1 34 2 382078 10 13 3 4 1 5 2 3103 0 50 39
1 42 4 170721 12 9 3 4 1 5 2 5178 0 50 39
0 33 3 269705 12 9 3 6 1 5 2 0 0 40 39
0 30 3 101135 10 13 5 4 2 5 1 0 0 50 39
0 39 3 118429 16 10 1 12 2 5 2 0 0 40 39
0 26 3 31208 13 14 5 4 2 5 1 0 0 40 39
0 33 3 281384 12 9 5 7 4 5 1 0 0 40 39
0 47 2 171807 12 9 1 1 2 5 1 0 0 40 39
1 41 4 445382 8 12 3 3 1 5 2 15024 0 60 39
0 19 3 105460 16 10 5 8 4 5 2 0 0 20 39
0 46 3 170338 12 9 6 14 2 5 2 0 0 40 39
0 43 3 102606 12 9 3 12 1 5 2 0 0 48 39
1 55 3 323887 16 10 3 4 1 5 2 15024 0 45 39
0 46 3 175622 9 11 3 13 1 5 2 0 0 40 39
0 30 3 229636 12 9 3 7 1 5 2 0 0 40 26
0 21 3 388946 16 10 6 6 2 5 1 0 0 40 39
0 46 3 269034 16 10 3 3 1 4 2 0 0 40 6
0 41 3 75012 12 9 3 7 1 5 2 0 0 50 39
0 69 4 174379 12 9 3 12 1 5 2 0 0 30 39
0 50 3 312477 12 9 3 14 1 5 2 0 0 40 39
0 20 3 72055 16 10 5 1 2 5 1 0 0 40 39
0 45 4 67001 16 10 3 7 1 5 2 0 0 50 39
0 23 3 213734 10 13 5 4 2 5 2 0 0 40 39
0 24 3 83141 16 10 6 8 2 5 2 0 1876 40 39
0 31 5 113752 16 10 3 3 1 5 2 0 0 50 39
0 43 3 170482 12 9 6 7 2 5 1 0 0 44 39
0 20 1 244689 2 7 5 8 4 5 1 0 0 10 39
1 55 3 160631 12 9 3 12 1 5 2 0 0 56 39
0 24 1 228724 16 10 5 2 2 5 2 0 0 40 39
0 59 3 292946 10 13 5 4 2 5 1 0 0 25 39
0 49 1 77443 6 4 5 8 2 3 2 0 0 20 39
1 33 3 176410 13 14 3 10 6 5 1 5178 0 10 39
0 59 1 98984 10 13 1 1 2 5 2 0 0 40 39
0 34 3 198751 13 14 5 8 2 1 2 0 0 40 39
0 20 3 479296 12 9 5 6 4 5 2 0 0 40 39
0 25 3 235218 10 13 5 4 4 5 1 0 0 40 39
0 49 3 164877 1 6 3 5 1 5 2 0 0 40 39
1 59 3 272087 12 9 3 14 1 5 2 0 0 40 39
0 20 3 169699 12 9 5 1 2 5 1 0 0 40 39
0 33 3 202191 16 10 5 1 5 3 1 0 0 35 39
0 22 3 212261 16 10 5 14 4 3 2 0 0 39 39
0 58 5 301568 7 5 7 8 2 5 1 0 0 40 39
0 52 2 155233 12 9 7 1 5 5 1 0 0 28 39
0 36 3 75826 1 6 6 7 2 5 1 0 0 40 39
0 41 2 201520 12 9 3 11 1 5 2 0 0 40 39
0 28 3 154236 12 9 5 14 4 5 2 2597 0 40 39
0 19 3 289227 16 10 5 6 4 3 2 0 0 16 39
0 18 3 217439 12 9 5 8 2 5 1 0 0 28 39
0 18 3 179020 12 9 5 7 4 5 1 0 0 48 39
0 28 3 149624 16 10 3 3 1 5 2 0 0 40 39
1 29 3 337266 9 11 3 4 1 5 2 0 0 40 39
0 40 3 103541 16 10 3 6 1 5 2 0 0 40 39
0 26 3 206721 12 9 5 6 5 5 2 0 0 40 39
0 46 3 96773 12 9 3 3 1 5 2 0 0 40 39
0 23 3 200967 2 7 5 8 2 5 1 0 0 24 39
0 44 3 180019 12 9 4 1 5 5 1 0 0 40 39
1 43 3 179866 10 13 1 12 5 5 1 0 0 40 39
0 31 2 198770 10 13 1 10 5 5 1 0 0 60 39
