"dat[, 6]" "Temperature" "Humidity" "Wind.Speed" "general.diffuse.flows" "diffuse.flows"
"25467" 30265.10769 23.47 81.4 4.925 15.66 13.56
"47812" 10912.77108 17.25 65.92 4.921 0.059 0.115
"48588" 8165.186074 13.42 79 0.085 139.5 46.23
"17036" 11770.18182 12.77 77.4 0.081 89 78.9
"11779" 25409.03226 11.45 62.93 0.085 36.45 33.35
"38962" 11496.46578 23.84 57.59 4.927 676.1 88.9
"48921" 15321.96879 15.38 49.94 0.092 30.83 34.68
"12571" 10416.77419 14.4 63.87 4.921 1.548 1.446
"5748" 24035.69849 13.61 64.44 4.917 0.048 0.126
"45294" 11491.08434 20.5 65.51 0.071 240.7 233.9
"6067" 14553.40704 11.25 90.2 0.084 0.051 0.215
"14103" 26368 14.36 89.7 0.07 0.077 0.178
"6821" 11699.45729 10.58 74.4 0.087 11.13 11.18
"7639" 17384.20101 13.49 59.68 0.086 0.04 0.13
"1119" 25399.51807 15.25 72.3 0.069 3.411 3.627
"10885" 15874.83871 14.06 73.7 0.073 220.9 209.5
"33235" 35619.31034 25.77 83.2 4.92 124.5 107.5
"30267" 21521.67364 23.39 62.22 4.904 0.095 0.104
"37842" 19698.14096 25.86 69.16 4.923 31.05 26.95
"23716" 19146.83077 22.13 52.79 0.081 138 109
"36090" 16091.52196 26.04 67.16 0.259 683.2 75
"21219" 10960.32389 19.67 77.4 0.079 122.3 96.9
"9626" 25229.03226 13.05 78 0.075 0.048 0.119
"23196" 25160.86154 19.86 65.69 0.079 0.048 0.1
"6002" 17308.94472 14.21 66.94 0.088 103.1 103.5
"42816" 8572.887538 18.05 91.2 4.941 10.76 9.56
"33444" 14222.44514 23.75 83.1 4.917 0.037 0.141
"43314" 17945.28875 19.39 75.3 4.922 0.124 0.17
"4317" 20715.18072 17.22 69.33 4.912 0.033 0.137
"6222" 14431.8392 8.44 90.1 0.086 0.055 0.134
"42229" 10119.3921 16.21 86.7 4.917 0.055 0.107
"32121" 25706.33229 27.6 31.28 4.908 0.073 0.085
"35128" 20174.70889 22.04 60.72 4.919 0.095 0.093
"16266" 23383.27273 16.56 71.7 0.082 0.037 0.07
"28521" 27902.25941 24.79 54.56 4.921 0.099 0.078
"32064" 25862.82132 34.64 23.51 4.904 614.7 145.1
"15993" 16087.27273 12.92 87.5 0.07 0.037 0.126
"13354" 18170.18182 15.64 83.5 0.07 77.8 71.3
"50395" 13587.51501 11.71 81 0.082 0.04 0.141
"7958" 14182.91457 7.71 78.4 0.085 0.051 0.093
"43683" 9279.027356 19.62 72.3 0.072 12.44 11.28
"43776" 12967.29483 17.17 58.01 0.078 0.037 0.104
"46361" 15984.57831 13.26 87.6 4.922 0.051 0.111
"2272" 25468.91566 12.11 55.54 0.078 3.173 3.282
"38454" 13137.97753 18.72 85.9 4.919 0.051 0.119
"49548" 9957.262905 8.37 87.6 0.08 0.048 0.141
"31371" 39778.30721 27.64 80 4.905 0.998 0.733
"30466" 29842.3431 29.96 41.69 4.904 873 55.11
"3292" 26839.51807 12.03 69.92 0.085 0.059 0.13
"19032" 15880.80972 17.38 90.4 0.069 0.044 0.13
"20703" 18148.66397 20.08 63.66 4.919 267.5 253.9
"31767" 29149.09091 30.61 63.25 4.905 752 272.8
"25171" 27458.95385 23 77.5 4.918 130.6 119.2
"16908" 15685.81818 19.11 55.26 0.083 627.4 40.67
"22475" 23707.56923 20.98 87.6 0.063 0.062 0.119
"19740" 15431.90283 17.57 86.7 4.919 0.044 0.133
"5479" 15908.0201 6.922 90.5 0.075 0.059 0.16
"250" 24144.57831 14.9 61.82 0.079 77.5 98.6
"133" 23976.86747 13.1 65.44 0.074 0.04 0.141
"50200" 9404.081633 16.27 59.11 0.083 145.8 145.4
"44107" 8188.915663 14.48 84.2 0.083 0.037 0.145
"1279" 25231.80723 15.12 75.6 0.076 0.066 0.137
"43231" 10737.99392 13.27 86.9 4.915 0.048 0.163
"2206" 12693.9759 11.63 85 0.074 0.077 0.178
"38363" 12167.19101 21.82 77.9 4.92 143.3 118.9
"18726" 16498.78543 19.09 83.7 4.918 0.04 0.111
"11446" 17088.3871 17.17 55.19 0.083 712 128.4
"47572" 8021.204819 8.38 88.7 4.916 31.94 23.04
"48198" 10158.94358 18.41 62.67 0.084 131 153.4
"28612" 30191.79916 36.49 21.18 4.934 631.7 59.94
"12359" 27673.54839 22.08 57.6 0.086 2.312 2.25
"28614" 30655.73222 36.57 20.61 4.931 580.9 58.65
"14755" 19624.72727 16.04 85.9 0.073 124.7 109.9
"30856" 15065.07837 22.44 75.3 4.91 3.74 2.971
"25342" 32167.38462 21.77 85.6 4.916 0.069 0.115
"10472" 18063.87097 16.94 66.42 0.074 325.7 332.4
"47449" 10311.3253 18.93 47.01 4.919 481.5 38.87
"3577" 25353.25301 13.93 62.17 0.088 0.077 0.089
"24890" 29361.23077 24.98 39.16 4.916 37.71 34.95
"42215" 11321.58055 17.1 85.4 4.913 0.066 0.189
"5508" 14842.85427 7.44 90.2 0.073 0.059 0.186
"1714" 24919.51807 15.1 83.5 0.073 0.059 0.137
"33425" 20433.8558 24.11 82 4.919 0.088 0.133
"13262" 15342.54545 14.76 87.3 0.076 0.048 0.089
"8957" 13947.09677 14.45 86.4 4.909 0.033 0.145
"33351" 26603.1348 27.57 74.2 4.925 590.6 223.8
