x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	y
0.45173514	0.04423964	0.2896592	0.8763855	0.15626168	0.61849344	0.48336774	0.56747913	0.12959647	0.61143273	0.349909	0.23431921	0.2580518	0.43280083	0.47223294	0.94423586	0.0072752237	0.43358153	0.91229784	0.9391801	-0.81711257
0.28904527	0.54049265	0.73204476	0.9633598	0.93782866	0.7083886	0.9515398	0.2180813	0.16307104	0.4054922	0.40873885	0.31869775	0.45184463	0.23762125	0.4841144	0.6098243	0.98227006	0.764801	0.23966354	0.5404334	0.11116284
0.3601395	0.76007086	0.44879282	0.23296934	0.9241765	0.6895979	0.26843572	0.6979613	0.8407224	0.9003163	0.18910784	0.48439282	0.35877174	0.002728939	0.30432194	0.3433336	0.17530668	0.63437974	0.20219517	0.9732147	-1.0120183
0.061546624	0.15748924	0.9305027	0.98579985	0.18900472	0.035735607	0.3609059	0.9001207	0.27635902	0.19827509	0.48818874	0.6699473	0.07898325	0.20095915	0.19981462	0.09994018	0.6754174	0.8762843	0.7516089	0.16364461	-0.34735772
0.057819545	0.4202674	0.38034403	0.7022687	0.10445434	0.7458198	0.18227541	0.49392617	0.4257155	0.27995062	0.09597427	0.16724741	0.07228863	0.2708844	0.101045966	0.9030992	0.8346116	0.042461097	0.34682155	0.0012179017	-0.727298
0.6724833	0.005180478	0.5685116	0.48295856	0.8130206	0.86380327	0.48774278	0.20408678	0.1105898	0.045193434	0.09414786	0.22465616	0.788174	0.4910047	0.061201572	0.17593265	0.08819151	0.23811239	0.89180505	0.9708934	-0.08232731
0.67995435	0.13563657	0.22835588	0.15039659	0.16754466	0.5945255	0.6215694	0.24616414	0.90276766	0.49698436	0.96989095	0.9291019	0.19968432	0.14554334	0.05780548	0.93472445	0.73145	0.02232945	0.77556944	0.41726398	0.45431527
0.41533	0.90043676	0.44585	0.090562284	0.06666678	0.7500805	0.46395904	0.3386768	0.9312883	0.5625651	0.46866745	0.90452707	0.8387467	0.94018626	0.9123691	0.7029764	0.7378276	0.15936327	0.58331025	0.875542	0.56132686
0.6796798	0.4855801	0.50633335	0.8844952	0.03201109	0.08851099	0.36883384	0.7803573	0.9089909	0.5131417	0.11837721	0.97207713	0.8479227	0.24844146	0.4651659	0.20973009	0.10896653	0.43765867	0.12996674	0.3681425	-0.10676758
0.95653796	0.2641961	0.22197664	0.027981043	0.9598346	0.9533708	0.2643171	0.28467137	0.71249634	0.43008095	0.43906748	0.49565774	0.04608184	0.34985143	0.9710427	0.95390177	0.8547397	0.9063374	0.40300333	0.8748324	-0.17371294
0.18925744	0.7497588	0.30900073	0.017458022	0.74139166	0.98632324	0.10882908	0.8736469	0.6190756	0.0513376	0.6422571	0.9026427	0.85258883	0.47828096	0.40500963	0.38062656	0.011053622	0.28609782	0.97277176	0.045166016	-0.2953163
0.6615016	0.5404364	0.18642014	0.9453204	0.070596695	0.85289246	0.6865132	0.38038844	0.7692673	0.26314777	0.8364711	0.84436345	0.45889026	0.015158355	0.006531596	0.25712115	0.9333114	0.2590217	0.05070418	0.6962734	-0.65206736
0.9736241	0.84310794	0.60970825	0.7741784	0.38876224	0.39237672	0.7458329	0.6250479	0.1362797	0.97565854	0.9852437	0.4414429	0.58889914	0.6290534	0.8645934	0.49622494	0.89277977	0.47775322	0.8319722	0.7475753	-0.6951807
0.55889636	0.43752778	0.52582085	0.48566806	0.100385904	0.6182177	0.3020553	0.20380336	0.06038797	0.00057035685	0.6628318	0.402485	0.81297857	0.6095352	0.0854941	0.5423946	0.2435345	0.34212583	0.7162957	0.90086424	-0.06170362
0.34856623	0.19230253	0.02511233	0.76354456	0.074329376	0.6732233	0.37128788	0.46065736	0.8305912	0.91020995	0.6194556	0.32382858	0.8274152	0.10450578	0.687893	0.9250413	0.6818732	0.33368397	0.4875062	0.5049372	-0.16251294
0.60378957	0.88554585	0.2156958	0.8817729	0.6829182	0.9558656	0.29265922	0.5120435	0.65636885	0.91514194	0.84907496	0.8866924	0.49481684	0.3584572	0.89475614	0.9060125	0.89308184	0.14742494	0.43638563	0.6302973	0.48477095
0.64573306	0.04462403	0.40275747	0.25699025	0.72016656	0.35054636	0.008071661	0.06303507	0.2856179	0.17527562	0.4823717	0.50266117	0.74062175	0.73474824	0.16458368	0.578372	0.7573982	0.867873	0.16666734	0.2878605	0.98158777
0.73220325	0.4724298	0.7721952	0.079019845	0.31038612	0.87165284	0.7777748	0.7921655	0.9525578	0.6546037	0.5002954	0.724181	0.8447872	0.042921722	0.43456876	0.84787804	0.6168069	0.12878561	0.08476663	0.86829555	0.005438675
0.5044647	0.85104597	0.8392544	0.14390862	0.92401457	0.98747617	0.24737984	0.1485945	0.20813876	0.8359057	0.5635132	0.5822912	0.8202072	0.8027517	0.32839543	0.03238213	0.047911644	0.56624115	0.65567434	0.4239909	0.11778365
0.590514	0.58436394	0.6109648	0.17588276	0.23903179	0.41897005	0.10710323	0.96239126	0.5338578	0.01992482	0.15599388	0.59002906	0.007071674	0.56104267	0.6180704	0.28966928	0.84405166	0.06523067	0.0719769	0.04286319	-0.25406033
0.36682624	0.9802778	0.5414372	0.6730956	0.30503297	0.31717664	0.83016497	0.17571193	0.5900167	0.6067869	0.8297295	0.32300466	0.34388673	0.2108193	0.8320172	0.018610537	0.6699768	0.47865945	0.056637704	0.032946646	0.026978977
0.017897308	0.48712277	0.16410851	0.26464248	0.93784714	0.4128611	0.8314961	0.64614564	0.8493261	0.12391597	0.40174782	0.48412472	0.32947654	0.30310935	0.24694896	0.050311267	0.2792316	0.53801274	0.8434248	0.626473	-0.6814596
0.9765156	0.24874657	0.3271644	0.6669394	0.069775105	0.17392176	0.056008756	0.9558685	0.53563446	0.5939012	0.6120024	0.9720603	0.31037283	0.34231776	0.943393	0.12328303	0.4329639	0.63707495	0.32570225	0.50861007	-0.18264495
0.72635406	0.17129874	0.41094506	0.5563828	0.72581065	0.06974679	0.8274332	0.3383574	0.56904167	0.17305851	0.15957272	0.57182825	0.72106516	0.60069954	0.8697445	0.7091862	0.27630383	0.06786686	0.64877707	0.9196986	0.54911304
0.1549061	0.8587314	0.32255912	0.5122602	0.53718835	0.949242	0.5580812	0.49456674	0.69297695	0.954418	0.15110636	0.88342553	0.9499062	0.08143419	0.467409	0.64690727	0.5518295	0.19329876	0.9403779	0.8024817	0.06560652
0.40719676	0.07351506	0.061689794	0.58952326	0.5299674	0.18297225	0.5598521	0.9829149	0.9640996	0.32283288	0.43725574	0.65591675	0.94260305	0.51538634	0.57753116	0.24156791	0.065484166	0.8615821	0.6783263	0.6784381	1.1440269
0.50184196	0.36771888	0.5573539	0.18649817	0.25997585	0.7410628	0.95453113	0.61655945	0.86737096	0.668743	0.5228629	0.84151864	0.26280707	0.65082186	0.48121053	0.41444874	0.3466453	0.79639035	0.7270209	0.027852356	-1.551563
0.14831066	0.3814538	0.08298302	0.36243492	0.058110237	0.59267217	0.00087451935	0.44969875	0.6671636	0.32719648	0.6031031	0.4510597	0.5515192	0.79640096	0.21994281	0.2404499	0.57207346	0.18665743	0.87572974	0.83523273	-0.23082863
0.38357532	0.9608359	0.3812477	0.19436991	0.037819386	0.46321934	0.09312928	0.18631119	0.01145035	0.1293605	0.7618591	0.8317593	0.93906665	0.6674113	0.6192121	0.27333444	0.14195973	0.54568183	0.46579725	0.8634795	0.40876564
0.71421206	0.4054768	0.07706344	0.2572567	0.18226296	0.67136955	0.60672987	0.82528174	0.5621324	0.666954	0.79348785	0.63365287	0.27322066	0.704326	0.8213389	0.43263507	0.7840528	0.73380095	0.62923294	0.1289565	-0.6447135
0.9915526	0.69269687	0.10409504	0.24546015	0.023288906	0.2851292	0.30687428	0.7771437	0.5525702	0.107004344	0.64797443	0.8890851	0.3703578	0.29678106	0.88305956	0.12250501	0.8295503	0.05255431	0.46476132	0.20015228	-1.4048169
